key_date,key_amount,cartola_row,cartola_reference,cartola_date,cartola_facebk_code,cartola_amount_clp,cartola_amount_usd,cartola_city,cartola_description
2026-03-11,600000,17,1203 74987506070003018832219,2026-03-11,H2MZ9H56E2,600000,693.68,fb.me/ads,FACEBK *H2MZ9H56E2
2026-03-13,600000,26,1603 74987506072000130028229,2026-03-13,98DVFH96E2,600000,673.82,fb.me/ads,FACEBK *98DVFH96E2
2026-03-16,600000,35,1603 74987506074000249327064,2026-03-16,FGQ4DHR6E2,600000,669.76,fb.me/ads,FACEBK *FGQ4DHR6E2
2026-03-16,600000,34,1703 74987506075002815915222,2026-03-16,QGFMQH56E2,600000,669.76,fb.me/ads,FACEBK *QGFMQH56E2
2026-03-21,600000,52,2303 74143616081000706881917,2026-03-21,ZT4ZNHV6E2,600000,665.21,DUBLIN,FACEBK *ZT4ZNHV6E2
2026-03-25,600000,64,2603 74987506084000715503089,2026-03-25,Z8752JV6E2,600000,671.44,fb.me/ads,FACEBK *Z8752JV6E2
2026-03-28,600000,73,3003 74987506087000362343216,2026-03-28,TSE8YJ56E2,600000,665.66,fb.me/ads,FACEBK *TSE8YJ56E2
2026-03-28,600000,71,3003 74987506087000461470217,2026-03-28,Z8ZHSKH6E2,600000,665.66,fb.me/ads,FACEBK *Z8ZHSKH6E2
2026-04-02,600000,90,0604 74987506092000816377227,2026-04-02,WQMAPLZ5E2,600000,676.03,fb.me/ads,FACEBK *WQMAPLZ5E2
2026-04-07,600000,102,0704 74987506097000601054077,2026-04-07,ZD97ELM6E2,600000,673.53,fb.me/ads,FACEBK *ZD97ELM6E2
