key_date,key_amount,meta_invoice_id,meta_brand,meta_date,meta_transaction_id,meta_payment_reference,meta_amount_clp,meta_status,meta_source_file
2026-03-10,600000,meta-socovesa-2026-03,Socovesa,2026-03-10,26249000421457816-26146796631678195,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-10T13-10 Transacción n.º 26249000421457816-26146796631678195.pdf
2026-03-12,600000,meta-socovesa-2026-03,Socovesa,2026-03-12,26167493542941837-26213506098340587,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-12T13-56 Transacción n.º 26167493542941837-26213506098340587.pdf
2026-03-14,600000,meta-socovesa-2026-03,Socovesa,2026-03-14,26357310773960117-26235384819486051,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-14T23-34 Transacción n.º 26357310773960117-26235384819486051.pdf
2026-03-15,600000,meta-socovesa-2026-03,Socovesa,2026-03-15,26194800626877803-26244684125222787,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-15T20-02 Transacción n.º 26194800626877803-26244684125222787.pdf
2026-03-17,600000,meta-socovesa-2026-03,Socovesa,2026-03-17,26723013290723194-26376371452054046,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-17T10-58 Transacción n.º 26723013290723194-26376371452054046.pdf
2026-03-24,6082,meta-pilares-2026-03,Pilares,2026-03-24,26577522311935066-26535503152803654,,6082,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-24T06-53 Transacción n.º 26577522311935066-26535503152803654.pdf
2026-03-24,600000,meta-socovesa-2026-03,Socovesa,2026-03-24,26340119482345914-26289449110746287,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-24T09-14 Transacción n.º 26340119482345914-26289449110746287.pdf
2026-03-26,600000,meta-socovesa-2026-03,Socovesa,2026-03-26,26370312482659947-26319604541064077,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-26T23-19 Transacción n.º 26370312482659947-26319604541064077.pdf
2026-03-26,600000,meta-socovesa-2026-03,Socovesa,2026-03-26,26473371145687409-26359670553724140,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-26T01-26 Transacción n.º 26473371145687409-26359670553724140.pdf
2026-03-31,600000,meta-socovesa-2026-03,Socovesa,2026-03-31,26500490096308852-26500490216308840,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-31T15-21 Transacción n.º 26500490096308852-26500490216308840.pdf
2026-04-04,600000,meta-socovesa-2026-04,Socovesa,2026-04-04,26477861661905031-26530629726628216,,600000,Pagado,Facturas Meta\Socovesa\abril_2026\2026-04-04T18-50 Transacción n.º 26477861661905031-26530629726628216.pdf
2026-04-06,600000,meta-pilares-2026-04,Pilares,2026-04-06,26736378289382800-26695118440175457,,600000,Pagado,Facturas Meta\Pilares\abril_2026\2026-04-06T21-25 Transacción n.º 26736378289382800-26695118440175457.pdf
2026-04-06,600000,meta-socovesa-2026-04,Socovesa,2026-04-06,26574568872234307-26490814120609779,,600000,Pagado,Facturas Meta\Socovesa\abril_2026\2026-04-06T19-21 Transacción n.º 26574568872234307-26490814120609779.pdf
2026-04-08,600000,meta-socovesa-2026-04,Socovesa,2026-04-08,26468446066179923-26468446146179915,,600000,Pagado,Facturas Meta\Socovesa\abril_2026\2026-04-08T20-13 Transacción n.º 26468446066179923-26468446146179915.pdf
